CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
82;TRUE;acs;3;2.62;6.01;0.52;23;0.14;NA;NA;20;1
19;TRUE;acs;3;2.04;1.09;0.87;6;0.74;NA;NA;16;1
128;TRUE;acs;3;1.45;7.42;0.91;19;0.4;NA;NA;25;1
141;TRUE;acs;3;2.95;6.52;0.13;31;0.67;NA;NA;45;0
287;TRUE;acs;3;4.52;4.6;0.13;52;0;NA;NA;13;1
365;TRUE;acs;3;4.79;2.25;0.12;53;0.17;NA;NA;9;1
351;TRUE;acs;3;3.66;0.92;0.33;51;0.09;NA;NA;16;1
440;TRUE;acs;3;4.79;0.62;0.71;62;0.09;NA;NA;10;1
425;TRUE;acs;3;3.93;4.79;0.32;63;0.22;NA;NA;15;1
529;TRUE;acs;3;4.05;0.85;0.67;62;0.36;NA;NA;14;1
566;TRUE;acs;3;4.88;0.23;0.22;55;0.29;NA;NA;11;1
569;TRUE;acs;3;4.75;1.72;0.24;56;0.13;NA;NA;10;1
630;TRUE;acs;3;4.43;4.42;0.19;55;0.12;NA;NA;15;1
814;TRUE;acs;3;4.65;0;0.31;56;0.35;NA;NA;9;1
738;TRUE;acs;3;4.45;3.92;0.2;58;0.08;NA;NA;14;1
769;TRUE;acs;3;4.35;4.36;0.07;48;0.07;NA;NA;13;1
825;TRUE;acs;3;4.48;3.52;0.21;55;0.08;NA;NA;12;1
854;TRUE;acs;3;4.89;0.52;0.35;60;0.29;NA;NA;11;1
851;TRUE;acs;3;4.58;4.08;0.11;47;0.06;NA;NA;12;1
884;TRUE;acs;3;4.75;4.09;0.16;55;0.06;NA;NA;11;1
895;TRUE;acs;3;4.38;3.62;0.23;58;0.04;NA;NA;10;1
893;TRUE;acs;3;4.37;4.59;0.12;49;0.01;NA;NA;12;1
909;TRUE;acs;3;4.58;3.85;0.19;54;0.1;NA;NA;14;1
914;TRUE;acs;3;4.44;4.48;0.21;59;0.11;NA;NA;13;1
908;TRUE;acs;3;4.88;4.03;0.18;56;0.07;NA;NA;13;1
915;TRUE;acs;3;4.88;3.64;0.19;60;0.07;NA;NA;11;1
