CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;FALSE;ras;0;4.57;5.38;0.47;16;NA;21;NA;NA;NA
2;FALSE;FALSE;mmas;2;2.07;0.38;0.96;64;NA;NA;NA;22;0
3;FALSE;FALSE;as;1;3.32;7.88;0.72;88;NA;NA;NA;11;0
4;FALSE;FALSE;eas;3;0.82;2.88;0.22;40;NA;NA;631;34;1
5;FALSE;FALSE;eas;0;0.19;1.63;0.84;100;NA;NA;537;NA;NA
6;FALSE;FALSE;acs;2;2.69;6.63;0.34;52;0.56;NA;NA;5;0
7;FALSE;FALSE;ras;1;1.44;4.13;0.1;28;NA;84;NA;17;0
8;FALSE;FALSE;as;3;3.94;9.13;0.59;76;NA;NA;NA;40;1
9;FALSE;FALSE;acs;1;0.5;9.75;0.9;34;0.37;NA;NA;37;0
10;FALSE;FALSE;eas;3;3;4.75;0.41;82;NA;NA;678;14;1
11;FALSE;FALSE;mmas;0;1.75;7.25;0.16;58;NA;NA;NA;NA;NA
12;FALSE;FALSE;ras;2;4.25;2.25;0.65;10;NA;52;NA;48;0
13;FALSE;FALSE;eas;0;3.63;1;0.53;46;NA;NA;397;NA;NA
14;FALSE;FALSE;as;2;1.13;6;0.04;94;NA;NA;NA;31;0
15;FALSE;FALSE;acs;3;2.38;8.5;0.78;22;1;NA;NA;20;1
16;FALSE;FALSE;mmas;1;4.88;3.5;0.28;70;NA;NA;NA;43;0
17;FALSE;FALSE;as;0;4.1;3.82;0.99;19;NA;NA;NA;NA;NA
18;FALSE;FALSE;eas;2;1.6;8.82;0.5;67;NA;NA;514;30;1
19;FALSE;FALSE;mmas;3;0.35;6.32;0.75;43;NA;NA;NA;18;0
20;FALSE;FALSE;acs;1;2.85;1.32;0.25;91;0.65;NA;NA;41;1
21;FALSE;FALSE;ras;0;0.97;7.57;0.38;79;NA;6;NA;NA;NA
22;FALSE;FALSE;as;2;3.47;2.57;0.87;31;NA;NA;NA;47;1
23;FALSE;FALSE;acs;3;4.72;0.07;0.13;55;0.03;NA;NA;12;0
24;FALSE;FALSE;eas;1;2.22;5.07;0.62;7;NA;NA;607;35;1
25;FALSE;FALSE;mmas;0;2.53;9.44;0.07;37;NA;NA;NA;NA;NA
26;FALSE;FALSE;ras;2;0.03;4.44;0.56;85;NA;74;NA;27;1
27;FALSE;FALSE;eas;1;3.78;6.94;0.81;61;NA;NA;748;15;1
28;FALSE;FALSE;as;3;1.28;1.94;0.31;13;NA;NA;NA;38;0
29;FALSE;FALSE;mmas;2;4.41;8.19;0.19;25;NA;NA;NA;10;1
30;FALSE;FALSE;acs;0;1.91;3.19;0.68;73;0.84;NA;NA;NA;NA
31;FALSE;FALSE;ras;3;3.16;5.69;0.93;97;NA;37;NA;44;0
32;FALSE;FALSE;as;1;0.66;0.69;0.44;49;NA;NA;NA;21;1
33;FALSE;FALSE;ras;3;2.14;7.1;0.51;90;NA;16;NA;50;0
34;FALSE;FALSE;mmas;1;4.64;2.1;0.02;42;NA;NA;NA;27;1
35;FALSE;FALSE;acs;0;3.39;4.6;0.76;66;0.57;NA;NA;NA;NA
36;FALSE;FALSE;eas;2;0.89;9.6;0.27;18;NA;NA;80;16;1
37;FALSE;FALSE;acs;2;4.02;3.35;0.89;78;0.2;NA;NA;22;1
38;FALSE;FALSE;mmas;0;1.52;8.35;0.39;30;NA;NA;NA;NA;NA
39;FALSE;FALSE;as;3;2.77;0.85;0.14;6;NA;NA;NA;33;0
40;FALSE;FALSE;eas;1;0.27;5.85;0.64;54;NA;NA;361;10;1
41;FALSE;FALSE;mmas;3;4.33;5.22;0.82;48;NA;NA;NA;25;0
42;FALSE;FALSE;ras;1;1.83;0.22;0.33;96;NA;60;NA;48;1
43;FALSE;FALSE;eas;2;3.08;7.72;0.08;72;NA;NA;127;36;1
44;FALSE;FALSE;as;0;0.58;2.72;0.58;24;NA;NA;NA;NA;NA
45;FALSE;FALSE;acs;3;1.21;1.47;0.45;60;0.26;NA;NA;7;0
46;FALSE;FALSE;mmas;1;3.71;6.47;0.95;12;NA;NA;NA;30;1
47;FALSE;FALSE;as;2;2.46;3.97;0.7;36;NA;NA;NA;42;1
48;FALSE;FALSE;ras;0;4.96;8.97;0.21;84;NA;48;NA;NA;NA
49;FALSE;FALSE;as;1;1.99;9.29;0.85;81;NA;NA;NA;6;0
50;FALSE;FALSE;ras;3;4.49;4.29;0.36;33;NA;1;NA;29;1
51;FALSE;FALSE;mmas;2;3.24;1.79;0.61;57;NA;NA;NA;17;0
52;FALSE;FALSE;acs;0;0.74;6.79;0.11;9;0.42;NA;NA;NA;NA
53;FALSE;FALSE;eas;0;3.86;0.54;0.73;93;NA;NA;150;NA;NA
54;FALSE;FALSE;acs;2;1.36;5.54;0.24;45;0.79;NA;NA;12;0
55;FALSE;FALSE;ras;1;2.61;3.04;0.48;21;NA;63;NA;23;0
56;FALSE;FALSE;mmas;3;0.11;8.04;0.98;69;NA;NA;NA;46;1
57;FALSE;FALSE;eas;3;1.67;3.66;0.05;87;NA;NA;291;9;1
58;FALSE;FALSE;acs;1;4.17;8.66;0.55;39;0.11;NA;NA;32;0
59;FALSE;FALSE;as;0;2.92;6.16;0.3;63;NA;NA;NA;NA;NA
60;FALSE;FALSE;ras;2;0.42;1.16;0.79;15;NA;95;NA;43;0
61;FALSE;FALSE;mmas;1;1.05;4.91;0.17;75;NA;NA;NA;49;0
62;TRUE;FALSE;acs;3;3.55;9.91;0.67;27;0.73;NA;NA;26;1
63;FALSE;FALSE;as;2;4.8;7.41;0.42;99;NA;NA;NA;38;0
64;FALSE;FALSE;eas;0;2.3;2.41;0.92;51;NA;NA;10;NA;NA
65;FALSE;FALSE;as;0;4.76;7.8;0.79;7;NA;NA;NA;NA;NA
66;FALSE;FALSE;ras;2;2.26;2.8;0.29;55;NA;42;NA;40;1
67;FALSE;FALSE;eas;3;1.01;0.3;0.54;31;NA;NA;98;6;0
68;FALSE;FALSE;acs;1;3.51;5.3;0.04;79;0.49;NA;NA;29;1
69;FALSE;FALSE;mmas;1;1.64;1.55;0.66;19;NA;NA;NA;46;1
70;FALSE;FALSE;ras;3;4.14;6.55;0.17;67;NA;55;NA;23;0
71;FALSE;FALSE;eas;0;0.39;4.05;0.41;91;NA;NA;191;NA;NA
72;FALSE;FALSE;as;2;2.89;9.05;0.91;43;NA;NA;NA;34;1
73;TRUE;FALSE;mmas;3;1.95;5.93;0.48;25;NA;NA;NA;49;0
74;FALSE;FALSE;ras;1;4.45;0.93;0.97;73;NA;24;NA;26;1
75;FALSE;FALSE;eas;0;3.2;3.43;0.23;49;NA;NA;332;NA;NA
76;FALSE;FALSE;acs;2;0.7;8.43;0.72;97;0.68;NA;NA;14;1
77;FALSE;FALSE;acs;0;1.32;9.68;0.6;61;0.05;NA;NA;NA;NA
78;FALSE;FALSE;mmas;2;3.82;4.68;0.1;13;NA;NA;NA;20;1
79;FALSE;FALSE;as;1;0.07;7.18;0.35;37;NA;NA;NA;8;1
80;FALSE;FALSE;eas;3;2.57;2.18;0.85;85;NA;NA;51;31;0
81;FALSE;FALSE;acs;2;3.35;0.61;0.38;40;0.33;NA;NA;19;0
82;FALSE;FALSE;mmas;0;0.85;5.61;0.88;88;NA;NA;NA;NA;NA
83;FALSE;FALSE;as;3;4.6;3.11;0.63;64;NA;NA;NA;30;1
84;FALSE;FALSE;ras;1;2.1;8.11;0.14;16;NA;8;NA;7;0
85;FALSE;FALSE;acs;0;3.98;1.86;0.26;28;0.96;NA;NA;NA;NA
86;FALSE;FALSE;eas;2;1.48;6.86;0.75;76;NA;NA;262;13;0
87;FALSE;FALSE;mmas;1;2.73;4.36;0.51;100;NA;NA;NA;24;0
88;FALSE;FALSE;ras;3;0.23;9.36;0.01;52;NA;70;NA;47;1
89;FALSE;FALSE;ras;0;3.04;7.49;0.69;34;NA;89;NA;NA;NA
90;FALSE;FALSE;as;2;0.54;2.49;0.2;82;NA;NA;NA;44;0
91;FALSE;FALSE;acs;3;1.79;4.99;0.94;10;0.14;NA;NA;10;1
92;FALSE;FALSE;eas;1;4.29;9.99;0.45;58;NA;NA;27;33;0
93;FALSE;FALSE;mmas;3;3.67;8.74;0.32;94;NA;NA;NA;27;1
94;FALSE;FALSE;acs;1;1.17;3.74;0.82;46;0.52;NA;NA;50;0
95;FALSE;FALSE;eas;2;4.92;6.24;0.57;22;NA;NA;309;39;0
96;FALSE;FALSE;as;0;2.42;1.24;0.07;70;NA;NA;NA;NA;NA
97;FALSE;FALSE;mmas;2;0.31;3.27;0.46;5;NA;NA;NA;25;1
98;FALSE;FALSE;ras;0;2.81;8.27;0.96;53;NA;69;NA;NA;NA
99;FALSE;FALSE;as;1;4.06;5.77;0.21;29;NA;NA;NA;13;1
100;FALSE;FALSE;eas;3;1.56;0.77;0.71;77;NA;NA;438;36;0
101;FALSE;FALSE;as;3;3.43;7.02;0.09;17;NA;NA;NA;42;0
102;FALSE;FALSE;ras;1;0.93;2.02;0.58;65;NA;31;NA;19;1
103;FALSE;FALSE;acs;2;4.68;9.52;0.83;89;0.91;NA;NA;8;1
104;FALSE;FALSE;mmas;0;2.18;4.52;0.34;41;NA;NA;NA;NA;NA
105;FALSE;FALSE;mmas;1;3.12;0.14;0.77;23;NA;NA;NA;39;1
106;FALSE;FALSE;acs;3;0.62;5.14;0.27;71;0.6;NA;NA;16;0
107;FALSE;FALSE;as;2;1.87;7.64;0.52;47;NA;NA;NA;28;1
108;FALSE;FALSE;eas;0;4.37;2.64;0.03;95;NA;NA;578;NA;NA
109;FALSE;FALSE;as;0;1.24;8.89;0.65;11;NA;NA;NA;NA;NA
110;FALSE;FALSE;ras;2;3.74;3.89;0.15;59;NA;13;NA;45;1
111;FALSE;FALSE;acs;1;2.49;6.39;0.4;83;0.22;NA;NA;34;1
112;FALSE;FALSE;eas;3;4.99;1.39;0.89;35;NA;NA;484;11;0
113;FALSE;FALSE;as;0;3.59;2.33;0.49;74;NA;NA;NA;NA;NA
114;FALSE;FALSE;ras;2;1.09;7.33;0.99;26;NA;22;NA;32;0
115;FALSE;FALSE;mmas;3;2.34;9.83;0.24;98;NA;NA;NA;21;1
116;FALSE;FALSE;acs;1;4.84;4.83;0.74;50;0.75;NA;NA;44;0
117;FALSE;FALSE;eas;1;0.46;8.58;0.12;62;NA;NA;414;38;0
118;TRUE;FALSE;acs;3;2.96;3.58;0.62;14;0.38;NA;NA;15;1
119;FALSE;FALSE;ras;0;1.71;6.08;0.86;38;NA;59;NA;NA;NA
