CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;FALSE;acs;0;2.5;7.88;0.72;58;0.21;NA;NA;NA;NA
2;FALSE;FALSE;eas;2;5;2.88;0.22;10;NA;NA;181;21;0
3;FALSE;FALSE;ras;3;3.75;0.38;0.96;82;NA;1;NA;32;1
4;FALSE;FALSE;mmas;1;1.25;5.38;0.47;34;NA;NA;NA;9;0
5;FALSE;FALSE;eas;1;4.37;1.63;0.84;70;NA;NA;275;26;0
6;FALSE;FALSE;as;3;1.87;6.63;0.35;22;NA;NA;NA;49;1
7;FALSE;FALSE;mmas;0;3.12;4.13;0.1;46;NA;NA;NA;NA;NA
8;FALSE;FALSE;acs;2;0.62;9.13;0.59;94;0.58;NA;NA;15;0
9;FALSE;FALSE;as;0;4.06;9.76;0.9;16;NA;NA;NA;NA;NA
10;FALSE;FALSE;eas;2;1.56;4.76;0.41;64;NA;NA;40;41;0
11;FALSE;FALSE;ras;1;2.81;7.26;0.16;88;NA;70;NA;29;0
12;FALSE;FALSE;mmas;3;0.31;2.26;0.65;40;NA;NA;NA;6;1
13;FALSE;FALSE;as;2;3.43;8.51;0.78;52;NA;NA;NA;35;0
14;FALSE;FALSE;ras;0;0.93;3.51;0.28;100;NA;32;NA;NA;NA
15;FALSE;FALSE;acs;3;4.68;6.01;0.04;76;0.9;NA;NA;23;1
16;FALSE;FALSE;eas;1;2.18;1.01;0.53;28;NA;NA;322;46;0
17;TRUE;FALSE;mmas;3;2.65;8.82;0.5;97;NA;NA;NA;25;0
18;FALSE;FALSE;acs;1;0.15;3.82;0.99;49;0.74;NA;NA;48;1
19;FALSE;FALSE;as;0;1.4;1.32;0.25;73;NA;NA;NA;NA;NA
20;FALSE;FALSE;ras;2;3.9;6.32;0.75;25;NA;85;NA;36;1
21;FALSE;FALSE;mmas;1;4.53;7.57;0.38;61;NA;NA;NA;31;1
22;FALSE;FALSE;ras;3;2.03;2.57;0.87;13;NA;23;NA;8;0
23;FALSE;FALSE;as;2;0.78;0.07;0.13;85;NA;NA;NA;42;1
24;FALSE;FALSE;eas;0;3.28;5.07;0.62;37;NA;NA;111;NA;NA
25;FALSE;FALSE;ras;1;1.72;9.45;0.07;7;NA;54;NA;5;1
26;FALSE;FALSE;as;3;4.22;4.45;0.56;55;NA;NA;NA;28;0
