CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;FALSE;eas;2;1.43;0.39;0.28;47;NA;NA;199;5;1
2;FALSE;FALSE;acs;0;3.93;5.39;0.78;95;0.25;NA;NA;NA;NA
3;FALSE;FALSE;mmas;1;2.68;7.89;0.03;23;NA;NA;NA;17;1
4;FALSE;FALSE;ras;3;0.18;2.89;0.53;71;NA;100;NA;40;0
5;TRUE;FALSE;acs;2;3.31;6.64;0.9;59;0.62;NA;NA;22;1
6;FALSE;FALSE;mmas;0;0.81;1.64;0.41;11;NA;NA;NA;NA;NA
7;FALSE;FALSE;ras;1;2.06;4.14;0.65;83;NA;37;NA;11;1
8;FALSE;FALSE;as;3;4.56;9.14;0.16;35;NA;NA;NA;34;0
9;FALSE;FALSE;acs;3;1.74;8.52;0.47;77;0.94;NA;NA;14;0
10;FALSE;FALSE;eas;1;4.24;3.52;0.96;29;NA;NA;58;37;1
11;FALSE;FALSE;ras;0;2.99;1.02;0.22;53;NA;69;NA;NA;NA
12;FALSE;FALSE;as;2;0.49;6.02;0.71;5;NA;NA;NA;48;1
13;FALSE;FALSE;mmas;3;3.62;4.77;0.84;17;NA;NA;NA;20;0
14;FALSE;FALSE;acs;1;1.12;9.77;0.34;65;0.31;NA;NA;43;1
15;FALSE;FALSE;as;0;2.37;7.27;0.59;41;NA;NA;NA;NA;NA
16;FALSE;FALSE;eas;2;4.87;2.27;0.1;89;NA;NA;339;31;1
17;FALSE;FALSE;ras;1;4.4;6.96;0.5;50;NA;47;NA;21;0
18;FALSE;FALSE;mmas;3;1.9;1.96;0.99;98;NA;NA;NA;44;1
19;FALSE;FALSE;acs;2;0.65;4.46;0.25;26;0.41;NA;NA;9;0
20;FALSE;FALSE;eas;0;3.15;9.46;0.75;74;NA;NA;316;NA;NA
21;FALSE;FALSE;as;1;0.02;0.71;0.87;62;NA;NA;NA;15;0
22;TRUE;FALSE;eas;3;2.52;5.71;0.37;14;NA;NA;35;38;1
23;FALSE;FALSE;mmas;2;3.77;8.21;0.62;86;NA;NA;NA;27;0
24;FALSE;FALSE;acs;0;1.27;3.21;0.13;38;0.78;NA;NA;NA;NA
25;FALSE;FALSE;as;0;4.71;3.83;0.31;80;NA;NA;NA;NA;NA
26;FALSE;FALSE;ras;2;2.21;8.83;0.81;32;NA;16;NA;47;0
27;FALSE;FALSE;mmas;3;0.96;6.33;0.06;56;NA;NA;NA;12;1
28;FALSE;FALSE;acs;1;3.46;1.33;0.56;8;0.72;NA;NA;35;0
29;FALSE;FALSE;eas;0;0.34;7.58;0.93;20;NA;NA;269;NA;NA
30;FALSE;FALSE;as;2;2.84;2.58;0.44;68;NA;NA;NA;30;0
31;TRUE;FALSE;ras;3;4.09;0.08;0.68;44;NA;78;NA;18;1
32;FALSE;FALSE;mmas;1;1.59;5.08;0.19;92;NA;NA;NA;41;0
