CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;FALSE;82;0;2;NA;NA;0.42;1.17;0.84
2;TRUE;181;4;0;NA;NA;1.67;2.42;0.39
3;TRUE;32;5;1;NA;9;1.04;1.79;0.62
4;FALSE;131;2;2;NA;NA;2.29;0.54;0.17
5;FALSE;156;1;0;NA;NA;1.98;0.86;0.73
6;TRUE;57;4;2;NA;NA;0.73;2.11;0.28
7;FALSE;106;6;1;15;NA;1.36;1.48;0.5
8;FALSE;7;3;0;NA;NA;0.11;0.23;0.05
9;FALSE;119;0;0;NA;NA;1.83;0.7;0.78
10;FALSE;19;3;1;NA;NA;0.58;1.95;0.33
11;FALSE;69;1;0;NA;NA;1.2;0.07;0.11
12;FALSE;169;5;2;NA;6;2.45;1.32;0.56
13;FALSE;94;6;0;14;NA;0.26;1.64;0.67
14;FALSE;194;2;1;NA;NA;1.51;0.39;0.22
15;FALSE;44;0;2;NA;NA;0.89;1.01;0.9
16;FALSE;144;4;1;NA;NA;2.14;2.26;0.45
17;FALSE;138;6;0;11;NA;0.34;1.09;0.59
18;FALSE;38;2;1;NA;NA;1.59;2.34;0.14
19;FALSE;88;4;1;NA;NA;2.22;0.46;0.36
20;FALSE;187;0;2;NA;NA;0.97;1.71;0.81
21;FALSE;162;5;2;NA;8;0.03;0.15;0.25
22;FALSE;63;1;0;NA;NA;1.28;1.4;0.7
23;FALSE;113;3;1;NA;NA;0.65;2.03;0.03
24;TRUE;75;5;1;NA;10;1.75;0.93;0.53
25;FALSE;175;2;0;NA;NA;0.5;2.18;0.08
26;FALSE;125;3;2;NA;NA;1.12;0.31;0.31
27;FALSE;26;0;1;NA;NA;2.37;1.56;0.76
28;FALSE;100;2;2;NA;NA;2.06;2.5;0.19
29;FALSE;200;6;0;19;NA;0.81;1.25;0.64
30;FALSE;150;1;1;NA;NA;0.18;1.87;0.87
31;FALSE;51;4;0;NA;NA;1.43;0.62;0.42
32;FALSE;103;1;2;NA;NA;1.71;0.03;0.6
33;FALSE;4;5;0;NA;3;0.46;1.28;0.15
34;FALSE;153;6;0;5;NA;2.33;1.91;0.83
35;FALSE;54;3;1;NA;NA;1.08;0.66;0.38
36;FALSE;178;2;1;NA;NA;1.4;0.97;0.26
37;FALSE;78;5;2;NA;4;0.15;2.22;0.71
38;TRUE;29;0;0;NA;NA;0.77;0.35;0.49
39;FALSE;128;4;2;NA;NA;2.02;1.6;0.04
40;FALSE;91;1;1;NA;NA;0.61;0.5;0.55
41;FALSE;190;4;2;NA;NA;1.86;1.75;0.1
42;FALSE;141;2;0;NA;NA;2.49;1.13;0.32
43;FALSE;166;0;1;NA;NA;2.18;0.19;0.66
44;FALSE;66;3;0;NA;NA;0.93;1.44;0.21
45;FALSE;116;5;1;NA;2;1.55;2.07;0.88
46;FALSE;16;1;2;NA;NA;0.3;0.82;0.43
47;FALSE;60;6;1;10;NA;1.63;0.27;0.8
48;FALSE;159;3;2;NA;NA;0.38;1.52;0.35
49;FALSE;110;4;0;NA;NA;1.01;0.89;0.12
50;FALSE;10;1;1;NA;NA;2.26;2.14;0.57
51;FALSE;184;5;1;NA;4;0.69;0.58;0.69
52;FALSE;85;2;0;NA;NA;1.94;1.83;0.24
53;FALSE;35;3;2;NA;NA;1.32;1.21;0.01
54;FALSE;134;0;0;NA;NA;0.07;2.46;0.46
55;FALSE;47;2;1;NA;NA;1.79;1.68;0.29
56;FALSE;97;4;1;NA;NA;2.41;1.05;0.07
57;FALSE;197;0;0;NA;NA;1.16;2.3;0.52
58;FALSE;172;3;1;NA;NA;0.22;0.74;0.18
59;FALSE;72;0;2;NA;NA;1.47;1.99;0.63
60;FALSE;23;5;0;NA;5;2.1;0.11;0.86
61;FALSE;122;1;2;NA;NA;0.85;1.36;0.41
62;FALSE;37;6;0;9;NA;2.39;2.05;0.19
63;FALSE;136;3;1;NA;NA;1.14;0.8;0.64
64;FALSE;186;4;1;NA;NA;0.52;1.42;0.86
65;FALSE;86;1;2;NA;NA;1.77;0.17;0.41
66;FALSE;111;5;2;NA;10;0.2;2.36;0.07
67;FALSE;50;0;1;NA;NA;1.79;1.34;0.5
68;FALSE;171;0;2;NA;NA;1.8;2.45;0.52
69;FALSE;130;4;1;NA;NA;0.72;1.32;0.25
70;FALSE;58;3;1;NA;NA;1.74;1.71;0.7
71;TRUE;51;4;0;NA;NA;2;1.59;0.3
72;FALSE;170;4;0;NA;NA;0.67;2.34;0.81
73;FALSE;59;5;1;NA;9;1.96;0.43;0.08
74;FALSE;133;6;1;13;NA;1.11;1.92;0.44
75;FALSE;164;6;0;14;NA;0.82;2.04;0.44
76;FALSE;69;3;2;NA;NA;0.66;1.98;0.47
77;FALSE;30;1;1;NA;NA;1.21;0.54;0.44
78;FALSE;91;2;0;NA;NA;0.61;2.09;0.38
79;TRUE;41;0;0;NA;NA;0.6;2.23;0.1
