CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;FALSE;acs;0;0.12;2.94;0.84;82;0.34;NA;NA;NA;NA
2;FALSE;FALSE;eas;2;2.62;7.94;0.34;34;NA;NA;232;29;0
3;FALSE;FALSE;mmas;1;1.37;0.44;0.1;10;NA;NA;NA;40;0
4;TRUE;FALSE;ras;3;3.87;5.44;0.59;58;NA;34;NA;17;1
5;TRUE;FALSE;acs;2;2;4.19;0.96;70;0.97;NA;NA;46;0
6;FALSE;FALSE;mmas;0;4.5;9.19;0.47;22;NA;NA;NA;NA;NA
7;FALSE;FALSE;as;3;0.75;1.69;0.22;46;NA;NA;NA;12;1
8;FALSE;FALSE;ras;1;3.25;6.69;0.72;94;NA;96;NA;35;0
9;FALSE;FALSE;eas;2;1.06;9.82;0.03;88;NA;NA;373;9;0
10;FALSE;FALSE;as;0;3.56;4.82;0.53;40;NA;NA;NA;NA;NA
11;FALSE;FALSE;acs;1;4.81;2.32;0.28;64;0.16;NA;NA;20;0
12;FALSE;FALSE;mmas;3;2.31;7.32;0.78;16;NA;NA;NA;43;1
13;FALSE;FALSE;eas;1;0.43;6.07;0.9;52;NA;NA;91;14;0
14;FALSE;FALSE;acs;3;2.93;1.07;0.41;100;0.53;NA;NA;37;1
15;FALSE;FALSE;ras;0;1.68;8.57;0.16;76;NA;3;NA;NA;NA
16;FALSE;FALSE;as;2;4.18;3.57;0.65;28;NA;NA;NA;26;0
17;FALSE;FALSE;ras;2;3.72;1.38;0.87;49;NA;56;NA;24;1
18;FALSE;FALSE;as;0;1.22;6.38;0.38;97;NA;NA;NA;NA;NA
19;FALSE;FALSE;eas;3;4.97;3.88;0.13;73;NA;NA;162;36;0
20;FALSE;FALSE;acs;1;2.47;8.88;0.62;25;0.87;NA;NA;13;1
21;FALSE;FALSE;ras;3;0.59;7.63;0.75;37;NA;43;NA;42;0
22;FALSE;FALSE;mmas;1;3.09;2.63;0.25;85;NA;NA;NA;19;1
23;FALSE;FALSE;eas;0;4.34;0.13;0.99;13;NA;NA;256;NA;NA
24;FALSE;FALSE;as;2;1.84;5.13;0.5;61;NA;NA;NA;7;1
25;FALSE;FALSE;ras;1;0.9;4.5;0.44;31;NA;87;NA;45;1
26;FALSE;FALSE;mmas;3;3.4;9.5;0.93;79;NA;NA;NA;22;0
27;FALSE;FALSE;acs;2;4.65;7;0.19;7;0.06;NA;NA;33;1
28;FALSE;FALSE;eas;0;2.15;2;0.68;55;NA;NA;302;NA;NA
29;FALSE;FALSE;acs;0;2.78;5.75;0.07;43;0.69;NA;NA;NA;NA
30;FALSE;FALSE;mmas;2;0.28;0.75;0.56;91;NA;NA;NA;50;1
31;FALSE;FALSE;as;1;4.03;8.25;0.81;67;NA;NA;NA;39;1
32;FALSE;FALSE;eas;3;1.53;3.25;0.31;19;NA;NA;21;16;0
33;FALSE;FALSE;eas;3;0.98;2.79;0.45;65;NA;NA;525;29;0
34;FALSE;FALSE;acs;1;3.48;7.79;0.95;17;0.61;NA;NA;6;1
35;FALSE;FALSE;mmas;0;4.73;5.29;0.21;89;NA;NA;NA;NA;NA
36;FALSE;FALSE;ras;2;2.23;0.29;0.7;41;NA;98;NA;18;1
37;FALSE;FALSE;eas;0;0.36;1.54;0.58;5;NA;NA;619;NA;NA
38;FALSE;FALSE;as;2;2.86;6.54;0.08;53;NA;NA;NA;12;1
39;FALSE;FALSE;mmas;1;1.61;4.04;0.33;77;NA;NA;NA;24;1
40;FALSE;FALSE;acs;3;4.11;9.04;0.82;29;0.23;NA;NA;47;0
41;FALSE;FALSE;mmas;0;3.17;0.91;0.76;59;NA;NA;NA;NA;NA
42;FALSE;FALSE;acs;2;0.67;5.91;0.27;11;0.3;NA;NA;38;1
43;FALSE;FALSE;ras;1;4.42;3.41;0.02;35;NA;67;NA;50;1
44;FALSE;FALSE;as;3;1.92;8.41;0.51;83;NA;NA;NA;27;0
45;FALSE;FALSE;as;1;0.04;9.66;0.64;71;NA;NA;NA;32;1
46;TRUE;FALSE;eas;3;2.54;4.66;0.14;23;NA;NA;384;9;0
47;FALSE;FALSE;mmas;2;3.79;2.16;0.89;95;NA;NA;NA;44;1
48;FALSE;FALSE;ras;0;1.29;7.16;0.39;47;NA;29;NA;NA;NA
49;FALSE;FALSE;eas;1;4.26;7.47;0.55;44;NA;NA;455;8;0
50;FALSE;FALSE;acs;3;1.76;2.47;0.05;92;0.76;NA;NA;31;1
51;FALSE;FALSE;mmas;2;0.51;4.97;0.79;20;NA;NA;NA;19;0
52;FALSE;FALSE;ras;0;3.01;9.97;0.3;68;NA;45;NA;NA;NA
53;FALSE;FALSE;as;0;2.39;3.72;0.92;32;NA;NA;NA;NA;NA
54;FALSE;FALSE;ras;2;4.89;8.72;0.42;80;NA;82;NA;14;0
55;FALSE;FALSE;acs;1;1.14;1.22;0.17;56;0.39;NA;NA;25;0
56;FALSE;FALSE;mmas;3;3.64;6.22;0.67;8;NA;NA;NA;48;1
57;FALSE;FALSE;acs;0;3.95;4.35;0.73;86;0.08;NA;NA;NA;NA
58;FALSE;FALSE;eas;2;1.45;9.35;0.24;38;NA;NA;595;34;0
59;FALSE;FALSE;as;1;2.7;1.85;0.48;14;NA;NA;NA;45;0
60;FALSE;FALSE;ras;3;0.2;6.85;0.98;62;NA;13;NA;22;1
61;FALSE;FALSE;as;3;4.58;0.6;0.36;50;NA;NA;NA;5;1
62;FALSE;FALSE;eas;1;2.08;5.6;0.85;98;NA;NA;502;28;0
63;FALSE;FALSE;mmas;0;0.83;8.1;0.11;26;NA;NA;NA;NA;NA
64;FALSE;FALSE;ras;2;3.33;3.1;0.61;74;NA;76;NA;40;0
65;FALSE;FALSE;ras;2;4.22;4.74;0.37;92;NA;10;NA;27;0
66;FALSE;FALSE;as;0;1.72;9.74;0.86;44;NA;NA;NA;NA;NA
67;FALSE;FALSE;eas;3;2.97;2.24;0.62;20;NA;NA;343;38;1
68;FALSE;FALSE;acs;1;0.47;7.24;0.12;68;0.73;NA;NA;15;0
69;FALSE;FALSE;acs;3;2.35;5.99;0.24;80;0.1;NA;NA;44;1
70;FALSE;FALSE;mmas;1;4.85;0.99;0.74;32;NA;NA;NA;21;0
71;FALSE;FALSE;eas;0;3.6;3.49;0.49;56;NA;NA;62;NA;NA
72;FALSE;FALSE;as;2;1.1;8.49;0.99;8;NA;NA;NA;10;0
73;FALSE;FALSE;acs;2;2.66;9.11;0.68;62;0.41;NA;NA;30;0
74;FALSE;FALSE;eas;0;0.16;4.11;0.18;14;NA;NA;109;NA;NA
75;FALSE;FALSE;ras;1;1.41;1.61;0.92;86;NA;28;NA;41;0
76;TRUE;FALSE;mmas;3;3.91;6.61;0.43;38;NA;NA;NA;18;1
77;FALSE;FALSE;as;1;3.29;5.36;0.31;26;NA;NA;NA;36;0
78;FALSE;FALSE;ras;3;0.79;0.36;0.8;74;NA;91;NA;13;1
79;FALSE;FALSE;acs;0;4.54;7.86;0.55;98;0.79;NA;NA;NA;NA
80;FALSE;FALSE;mmas;2;2.04;2.86;0.06;50;NA;NA;NA;47;0
81;FALSE;FALSE;as;2;3.44;0.05;0.15;65;NA;NA;NA;23;1
82;FALSE;FALSE;ras;0;0.94;5.05;0.65;17;NA;63;NA;NA;NA
83;FALSE;FALSE;mmas;1;2.19;7.55;0.4;89;NA;NA;NA;11;1
84;FALSE;FALSE;acs;3;4.69;2.55;0.89;41;0.88;NA;NA;34;0
85;FALSE;FALSE;mmas;3;0.32;8.8;0.27;53;NA;NA;NA;40;0
86;FALSE;FALSE;ras;1;2.82;3.8;0.77;5;NA;50;NA;17;1
87;FALSE;FALSE;eas;2;1.57;6.3;0.52;29;NA;NA;179;5;1
88;FALSE;FALSE;as;0;4.07;1.3;0.03;77;NA;NA;NA;NA;NA
89;FALSE;FALSE;eas;2;4.38;5.68;0.83;83;NA;NA;39;31;1
90;FALSE;FALSE;acs;0;1.88;0.68;0.34;35;0.19;NA;NA;NA;NA
91;FALSE;FALSE;ras;3;3.13;8.18;0.09;11;NA;81;NA;20;0
92;FALSE;FALSE;eas;3;3.22;7.7;0.13;9;NA;NA;368;24;1
93;FALSE;FALSE;eas;0;0.15;4.36;0.58;68;NA;NA;219;NA;NA
94;FALSE;FALSE;eas;1;3.34;1.96;0.48;5;NA;NA;676;15;0
95;FALSE;FALSE;as;3;2.12;8.88;0.22;46;NA;NA;NA;25;0
96;FALSE;FALSE;ras;0;1.66;9.85;0.21;16;NA;18;NA;NA;NA
97;FALSE;FALSE;acs;2;0.95;6.06;0.72;58;0.5;NA;NA;25;0
98;FALSE;FALSE;acs;2;3.06;1.19;0.43;44;0.94;NA;NA;44;1
99;FALSE;FALSE;mmas;2;1.04;2.45;0.98;54;NA;NA;NA;46;1
100;FALSE;FALSE;as;2;0.9;4.2;0.63;57;NA;NA;NA;50;0
101;FALSE;FALSE;acs;1;2.24;5.68;0.64;47;0.14;NA;NA;49;0
102;FALSE;FALSE;acs;2;0.4;3.26;0.84;74;0.83;NA;NA;37;0
103;FALSE;FALSE;ras;0;2.36;8.39;0.74;51;NA;58;NA;NA;NA
104;FALSE;FALSE;as;2;3.81;6.7;0.93;100;NA;NA;NA;26;0
105;FALSE;FALSE;mmas;1;3.27;4.24;0.36;28;NA;NA;NA;7;0
106;FALSE;FALSE;as;3;3.77;5.42;0.34;31;NA;NA;NA;5;1
107;FALSE;FALSE;eas;2;4.43;8.88;0.6;69;NA;NA;634;33;1
108;FALSE;FALSE;eas;3;3.44;5.44;0.36;41;NA;NA;394;26;1
109;FALSE;FALSE;acs;1;2.86;1.96;0.18;28;0.42;NA;NA;15;0
110;FALSE;FALSE;acs;1;2.18;4.24;0.97;19;0.89;NA;NA;30;0
111;FALSE;FALSE;eas;3;3.83;6.7;0.59;25;NA;NA;149;11;1
112;FALSE;FALSE;acs;3;2.82;5.07;0.92;51;0.99;NA;NA;45;0
113;FALSE;FALSE;mmas;3;4.47;5.67;0.65;46;NA;NA;NA;41;0
114;TRUE;FALSE;acs;3;4.49;0.92;0.25;52;0.85;NA;NA;42;0
115;FALSE;FALSE;acs;2;1.26;0.3;0.87;50;0.35;NA;NA;36;0
116;FALSE;FALSE;mmas;3;3.71;3.92;0.54;25;NA;NA;NA;10;0
117;FALSE;FALSE;acs;0;0.89;5.4;0.84;48;0.84;NA;NA;NA;NA
118;FALSE;FALSE;eas;2;2.42;7.25;0.14;25;NA;NA;192;33;0
119;FALSE;FALSE;mmas;1;4.28;1.84;0.23;53;NA;NA;NA;15;0
120;FALSE;FALSE;as;0;1.95;7.69;0.38;21;NA;NA;NA;NA;NA
121;FALSE;FALSE;eas;1;4.04;4.34;0.85;57;NA;NA;43;33;0
122;FALSE;FALSE;eas;0;3.69;1.26;0.71;13;NA;NA;605;NA;NA
123;TRUE;FALSE;acs;3;4.24;9.69;0.39;35;0.7;NA;NA;29;0
124;FALSE;FALSE;acs;1;3.14;2.32;0.86;46;0.43;NA;NA;33;1
125;FALSE;FALSE;acs;2;1.33;5.84;0.68;90;0.97;NA;NA;39;1
126;FALSE;FALSE;as;3;3.47;8.2;0.33;40;NA;NA;NA;30;1
127;FALSE;FALSE;as;3;0.12;2;0.15;51;NA;NA;NA;13;0
128;FALSE;FALSE;as;0;3.42;7.3;0.97;20;NA;NA;NA;NA;NA
129;FALSE;FALSE;as;2;2.31;5.02;0.02;55;NA;NA;NA;28;1
