network_name;problem_type;number_of_runs;best_known_solution;components;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;average_regular_in_degree;average_elite_in_degree;average_elite_out_degree;best_nodes;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
BH-L0;min;20;0.20066729;2653;9111;8718;393;2653;5426;1032;6459;743;0;5716;0.707272310162881;0.745547073791349;16.4351145038168;1;1;0;0.1;0;0;0;NA;NA;0.000109757436066293;0.956865327625947;0.0431346723740533;0.291186477883877;0.595543848095708;0.113269674020415;0.115033286886515;0;0.884966713113485
BH-L1;min;20;0.20066729;2642;9084;8692;392;2653;5404;1027;6446;742;0;5704;0.707547169811321;0.755102040816326;16.4438775510204;1;1;0;0.1;0;0;0;NA;NA;0.000110083663584324;0.956847203874945;0.043152796125055;0.292051959489212;0.594892118009687;0.113055922501101;0.115110145826869;0;0.884889854173131
BH-L2;min;20;0.20066729;2569;8247;7873;374;2646;4777;824;6115;758;0;5357;0.723358313222406;1.12299465240642;16.3502673796791;1;3;0;0.3;0;0;0;NA;NA;0.000121256214380987;0.954650175821511;0.0453498241784892;0.320843943252092;0.579240936097975;0.0999151206499333;0.123957481602617;0;0.876042518397383
BH-L3;min;20;0.20066729;2342;6709;6404;305;2580;3655;474;5415;720;0;4695;0.751249219237976;1.98032786885246;17.7540983606557;1;6;16;0.7;0;0;0;NA;NA;0.000149053510210165;0.9545386793859;0.0454613206141005;0.384558056342227;0.544790579818155;0.0706513638396184;0.132963988919668;0;0.867036011080332
BH-L4;min;20;0.20066729;2004;5437;5180;257;2456;2664;317;4954;664;0;4290;0.808301158301158;2.98443579766537;19.2762645914397;1;11;7;1.4;0;0;0;NA;NA;0.000183924958616884;0.952731285635461;0.0472687143645393;0.451719698363068;0.48997608975538;0.0583042118815523;0.13403310456197;0;0.86596689543803
BH-L5;min;20;0.20066729;1417;3903;3690;213;2224;1492;187;4490;650;0;3840;1.00027100271003;3.75117370892019;21.0798122065728;1;12;23;4.4;0;0;0;NA;NA;0.000256213169356905;0.945426594926979;0.0545734050730208;0.569818088649757;0.382270048680502;0.0479118626697412;0.144766146993318;0;0.855233853006682
BH-65-L0;min;20;0.24144377;1298;5918;5532;386;1298;3323;1297;4620;600;0;4020;0.783441793203182;0.740932642487047;11.9689119170984;1;1;0;0.05;0;0;0;NA;NA;0.000168976005407232;0.934775261912808;0.0652247380871916;0.219330855018587;0.561507265968233;0.21916187901318;0.12987012987013;0;0.87012987012987
BH-65-L1;min;20;0.24144377;1292;5908;5522;386;1298;3318;1292;4617;604;0;4013;0.784136182542557;0.743523316062176;11.9611398963731;1;1;0;0.05;0;0;0;NA;NA;0.00016926201760325;0.934664861205146;0.0653351387948544;0.219702098849018;0.561611374407583;0.218686526743399;0.130820879358891;0;0.869179120641109
BH-65-L2;min;20;0.24144377;1238;5466;5093;373;1297;3118;1051;4457;622;0;3835;0.803652071470646;0.975871313672922;11.9490616621984;1;1;0;0.1;0;0;0;NA;NA;0.000182949140139041;0.931759970728138;0.0682400292718624;0.237285034760337;0.570435418953531;0.192279546286132;0.139555754992147;0;0.860444245007853
BH-65-L3;min;20;0.24144377;1151;4481;4167;314;1285;2584;612;4026;572;0;3454;0.838252939764819;1.69745222929936;12.8216560509554;1;3;11;0.25;0;0;0;NA;NA;0.000223164472216023;0.929926355724169;0.0700736442758313;0.28676634679759;0.576656996206204;0.136576656996206;0.14207650273224;0;0.85792349726776
